layer,feature,label,f1_score,accuracy,precision,recall,main_theme,sub_theme
28,245,Sentence structure and minor content words in financial contexts,0.66,0.492,0.681,0.64,And & Contexts,And Punctuation
28,331,Financial metrics and market dynamics,0.792,0.662,0.75,0.84,And & Metrics,And Metrics
28,181,Transitions and continuations in financial and business contexts,0.667,0.554,0.784,0.58,And & Contexts,And Contexts
28,350,Key financial or technical terms and punctuation in news articles,0.876,0.8,0.836,0.92,And & Contexts,And Technical
4,248,"Sentence boundary marker, specifically periods.",0.381,0.48,0.4,0.364,Sentence & Marker,Sentence Boundary
28,35,"Financial and business terms, especially technology and market trends",0.857,0.754,0.787,0.941,And & Contexts,And Performance
16,315,"Financial transactions, market movements, and corporate actions",0.8,0.677,0.764,0.84,And & Economic,And Contexts
28,156,Common verbs and articles in financial and business contexts,0.628,0.508,0.771,0.529,And & Contexts,And Contexts
28,342,"Financial and business terms, focusing on market dynamics and investment.",0.844,0.738,0.793,0.902,And & Contexts,And Performance
16,162,"Financial and business-related terms, including company names and market activities.",0.98,0.96,1.0,0.96,And & Names,And Names
22,256,Actions and entities in business contexts,0.818,0.692,0.75,0.9,And & Contexts,And Contexts
10,261,Financial transactions and cash movements,0.613,0.554,0.958,0.451,And & Contexts,And Contexts
4,281,Segments of company names and stock-related terms,0.667,0.538,0.75,0.6,And & Names,And Names
22,213,"Words preceding or following sentence-ending punctuation, especially periods.",0.833,0.723,0.789,0.882,And & Contexts,Sentence And
4,200,End of sentence or transition markers,0.514,0.477,0.9,0.36,Sentence & Marker,Sentence End
10,157,"Financial and economic terms, often related to market performance and trends.",0.816,0.708,0.792,0.84,And & Economic,And Economic
16,5,"Financial transactions, investments, and business activities",0.752,0.615,0.745,0.76,And & Contexts,And Contexts
16,343,Commas separating clauses in financial and business contexts,0.3,0.354,1.0,0.176,And & Contexts,And Contexts
22,89,Verbs and states indicating dynamic changes or conditions,0.578,0.462,0.727,0.48,And & Contexts,And States
16,180,"Financial market analysis, focusing on technical levels and economic indicators.",0.556,0.508,0.909,0.4,And & Economic,And Economic
22,75,"Financial and economic terms, market performance, and trends",0.822,0.708,0.772,0.88,And & Economic,And Economic
4,19,Financial and business states or actions in market contexts,0.822,0.708,0.786,0.863,And & Contexts,And States
22,130,Sentence boundaries or end-of-sentence punctuation,0.533,0.6,0.8,0.4,Sentence & Marker,Sentence End
10,338,Sector-specific financial and technical terms,0.811,0.692,0.768,0.86,And & Time,And Technical
4,127,Financial and economic news and analysis,0.913,0.84,1.0,0.84,And & Economic,And Economic
4,198,Financial performance and market movements,0.735,0.6,0.75,0.72,And & Economic,And Performance
28,359,Common financial and analytical text elements,0.865,0.785,0.849,0.882,And & Contexts,And Elements
10,352,"Financial and economic details, advice, and performance metrics",0.808,0.692,0.778,0.84,And & Metrics,And Economic
10,302,Specific points in time or conditions,0.578,0.462,0.727,0.48,And & Time,And Tech
28,147,Market and economic conditions influencing stock and automotive sectors,0.59,0.508,0.821,0.46,And & Economic,And Contexts
22,283,"Financial and business terms, focusing on market and economic indicators.",0.824,0.7,1.0,0.7,And & Contexts,And Performance
10,285,Financial metrics and time periods in stock market contexts,0.825,0.738,0.87,0.784,And & Time,Time Periods
16,193,End of sentence in financial contexts,0.556,0.68,0.714,0.455,Sentence & Marker,Sentence End
22,382,"Financial advice, market trends, and investment strategies",0.652,0.508,0.714,0.6,And & Economic,And Contexts
16,9,Financial and market-related terms and transitions in economic conditions.,0.807,0.677,0.746,0.88,And & Economic,And Stock
4,95,Years in financial or market contexts,0.633,0.554,0.862,0.5,And & Economic,And Contexts
22,189,Technology company financial performance and market impact,0.703,0.585,0.8,0.627,And & Economic,And Performance
16,235,Financial indicators and market trends,0.788,0.662,0.759,0.82,And & Economic,And Economic
28,399,Financial and business-related terms indicating market conditions and company performance,0.812,0.708,0.804,0.82,And & Contexts,And Concepts
28,134,"Financial and business-related content, including company names and economic terms.",0.818,0.692,0.75,0.9,And & Names,And Names
16,6,"Financial metrics, market performance, and economic indicators",0.722,0.585,0.745,0.7,And & Metrics,And Metrics
16,198,"Financial and business-related terms, including company names and economic indicators.",0.839,0.723,0.758,0.94,And & Names,And Names
16,185,Financial metrics and trend indicators in business contexts,0.739,0.631,0.81,0.68,And & Metrics,And Metrics
4,236,Transition or change in financial or business state,0.581,0.446,0.694,0.5,And & Contexts,And Contexts
16,329,"Significant financial events or outcomes, often negative",0.56,0.492,0.84,0.42,And & Contexts,And Words
4,106,"Corporate and financial terminology, including company names and market actions.",0.811,0.692,0.768,0.86,And & Names,And Names
22,268,Business actions and strategic positioning,0.81,0.68,1.0,0.68,And & Contexts,And States
22,258,Financial movement and potential indicators,0.69,0.585,0.811,0.6,And & Contexts,And Contexts
16,13,End of sentence in financial contexts,0.353,0.56,0.5,0.273,Sentence & Marker,Sentence End
16,387,Financial and business performance metrics and analysis,0.795,0.66,1.0,0.66,And & Metrics,And Performance
10,185,Conjunctions and punctuation in lists or sequences of items,0.211,0.308,0.857,0.12,And & Contexts,And Punctuation
22,3,Financial and business-related prefixes and parts of words in investment contexts,0.807,0.677,0.759,0.863,And & Contexts,And Concepts
22,300,"Financial and business-related actions, predictions, and relationships",0.865,0.769,0.8,0.941,And & Contexts,And Concepts
10,67,Transitions or points of reference in time or context,0.582,0.492,0.793,0.46,And & Time,And Contexts
22,334,"Sentence structure, punctuation, and company names/abbreviations",0.109,0.246,0.6,0.06,And & Names,And Punctuation
22,320,Key terms and proper nouns in financial and stock-related content,0.792,0.677,0.784,0.8,And & Contexts,And Contexts
16,69,Punctuation marks and delimiters for titles or quotes,0.622,0.569,0.958,0.46,And & Contexts,Sentence And
16,364,End of sentences in financial and stock-related contexts.,0.545,0.6,0.5,0.6,Stock & And,End Sentences
16,273,Temporal or causal relationship in financial contexts,0.575,0.431,0.676,0.5,And & Contexts,Contexts And
10,353,Temporal and conditional relationships in financial and business contexts,0.635,0.523,0.771,0.54,And & Contexts,And Contexts
4,358,"Words emphasizing or modifying other terms, indicating intensity or comparison.",0.423,0.369,0.714,0.3,And & Contexts,And Words
4,307,Business operations and financial activities,0.804,0.677,0.754,0.86,And & Contexts,And Contexts
4,183,Connects multiple financial or business elements in a sentence,0.74,0.6,0.755,0.725,And & Contexts,And Elements
28,183,"Financial and business terms, focusing on investments and market conditions.",0.808,0.692,0.778,0.84,And & Contexts,And Performance
16,158,Financial and stock market-related terms and concepts,0.78,0.662,0.78,0.78,And & Economic,And Stock
4,392,"Financial and business terms, often with a tech or investment focus",0.947,0.9,1.0,0.9,And & Contexts,And Performance
4,98,"Transitions, contrasts, and specific contexts in financial news",0.457,0.415,0.8,0.32,And & Contexts,And News
28,252,Financial and investment-related terms and concepts,0.808,0.708,0.833,0.784,And & Economic,And Stock
28,224,Specific entities or concepts in financial and business contexts,0.889,0.815,0.842,0.941,And & Contexts,And Contexts
16,375,Names of individuals and companies in financial contexts,0.822,0.754,0.925,0.74,And & Contexts,Contexts And
22,367,Common financial and business terms and phrases,0.822,0.708,0.772,0.88,And & Contexts,And Performance
10,221,Financial actions and market movements,0.8,0.692,0.816,0.784,And & Economic,And Contexts
4,244,"Financial and business terms, focusing on companies, stocks, and specific activities.",0.796,0.662,0.741,0.86,And & Contexts,And Performance
22,366,Economic and market-related terms in financial contexts,0.758,0.646,0.8,0.72,And & Economic,And Stock
22,25,Financial market trends and company performance indicators,0.824,0.7,1.0,0.7,And & Economic,And Performance
4,308,Punctuation and short words indicating structure and emphasis,0.455,0.446,0.938,0.3,And & Contexts,And Words
10,64,"Financial and business terms, focusing on companies, valuations, and market activities.",0.85,0.738,0.762,0.96,And & Contexts,And Performance
10,125,"Corporate actions, financial trends, and market performance indicators",0.785,0.646,0.737,0.84,And & Economic,And Performance
4,51,Financial and business performance metrics and trends,0.729,0.6,0.761,0.7,And & Metrics,And Performance
10,225,"Financial and business terms, emphasizing time periods and market segments.",0.913,0.84,1.0,0.84,And & Time,Time Periods
4,324,"Financial and business context, indicating specific purposes or conditions",0.852,0.754,0.793,0.92,And & Contexts,And Tech
4,380,Indicators of process or event initiation or continuation,0.521,0.462,0.826,0.38,And & Contexts,And Contexts
10,386,Apostrophes and contractions in financial and business text,0.556,0.508,0.909,0.4,And & Contexts,And Contexts
16,38,"Financial terms and stock market discussions, focusing on Spotify and interest rates.",0.694,0.667,0.895,0.567,And & Economic,And Contexts
28,204,"Actions, agreements, and regulatory changes in financial and political contexts",0.364,0.354,0.75,0.24,And & Contexts,And Contexts
16,272,Financial and business entity names and stock-related terms,0.82,0.723,0.82,0.82,And & Names,And Names
22,351,"References to companies, announcements, and significant business events.",0.804,0.708,0.848,0.765,And & Contexts,And Words
10,42,Relative clauses and subordinating conjunctions introducing additional information,0.394,0.385,0.812,0.26,And & Contexts,And Punctuation
28,368,Financial market conditions and actions,0.644,0.508,0.725,0.58,And & Economic,And Contexts
28,218,Marks end of sentences or key information segments.,0.444,0.6,0.5,0.4,And & Contexts,End Sentences
22,275,"Financial activities, opportunities, and market conditions in trading and investment contexts.",0.808,0.692,0.778,0.84,And & Economic,And Contexts
22,34,"Introduces or refers to specific entities, documents, or actions.",0.644,0.523,0.778,0.549,And & Contexts,And Tech
10,166,Ongoing EV revolution and market transitions,0.077,0.262,1.0,0.04,And & Economic,And Contexts
28,376,Financial performance and market dynamics indicators,0.696,0.569,0.78,0.627,And & Economic,And Performance
10,205,End of sentences in financial and stock-related contexts.,0.6,0.543,0.6,0.6,Stock & And,End Sentences
16,323,Financial transactions and market predictions,0.752,0.615,0.76,0.745,And & Economic,And Contexts
22,280,Common prepositions and articles in financial and business contexts,0.667,0.554,0.784,0.58,And & Contexts,And Contexts
28,280,Financial metrics and market indicators in company performance reports,0.6,0.508,0.8,0.48,And & Metrics,And Metrics
28,87,"Financial and business terms, focusing on market, investments, and corporate activities.",0.75,0.6,0.722,0.78,And & Contexts,And Performance
22,81,Financial and business performance metrics and market activities,0.781,0.646,0.745,0.82,And & Metrics,And Performance
